Majority protein IDs	protein_ID
CON__Q3SX09;CON__P02070	CON__Q3SX09
CON__Q3SX09;CON__P02070	CON__P02070
CON__Q3SX14	CON__Q3SX14
XP_005660265.1;CON__Q3SX28	XP_005660265.1
XP_005660265.1;CON__Q3SX28	CON__Q3SX28
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q9Z2K1
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q3ZAW8
CON__Q5D862	CON__Q5D862
NP_001001534.1	NP_001001534.1
NP_001001535.1;XP_020930326.1	NP_001001535.1
NP_001001535.1;XP_020930326.1	XP_020930326.1
NP_001001537.1	NP_001001537.1
NP_001001539.1	NP_001001539.1
NP_001001542.1	NP_001001542.1
NP_001001546.1	NP_001001546.1
XP_013842818.1;NP_001001587.1	XP_013842818.1
XP_013842818.1;NP_001001587.1	NP_001001587.1
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663430.1
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663427.1
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_020944392.1
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_005663431.1
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	XP_020944391.1
NP_001001634.1	NP_001001634.1
XP_020924241.1;NP_001001636.1	XP_020924241.1
XP_020924241.1;NP_001001636.1	NP_001001636.1
NP_001001637.1;XP_005671774.1	NP_001001637.1
NP_001001637.1;XP_005671774.1	XP_005671774.1
NP_001001638.1	NP_001001638.1
NP_001001640.1	NP_001001640.1
NP_001001641.1	NP_001001641.1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_020946860.1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_020946859.1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	XP_005655600.1
XP_020946860.1;XP_020946859.1;XP_005655600.1;NP_001001642.1	NP_001001642.1
NP_001001643.1	NP_001001643.1
NP_001001649.2	NP_001001649.2
NP_001001770.1	NP_001001770.1
NP_001001771.1	NP_001001771.1
NP_001001862.1	NP_001001862.1
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937506.1
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937494.1
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937483.1
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937474.1
XP_020937506.1;XP_020937494.1;XP_020937483.1;XP_020937474.1;XP_020937468.1;XP_020937457.1;XP_020937450.1;XP_020937440.1;XP_020937436.1;XP_020937431.1;XP_020937423.1;NP_001001863.1	XP_020937468.1
NP_001001867.1	NP_001001867.1
NP_001001869.1	NP_001001869.1
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_020957907.1
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_020957906.1
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	XP_005667429.1
XP_020957907.1;XP_020957906.1;XP_005667429.1;NP_001002801.1	NP_001002801.1
NP_001002817.1	NP_001002817.1
XP_020949255.1;NP_001003924.1	XP_020949255.1
XP_020949255.1;NP_001003924.1	NP_001003924.1
NP_001003925.1	NP_001003925.1
NP_001004031.1;XP_020932974.1	NP_001004031.1
NP_001004031.1;XP_020932974.1	XP_020932974.1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_020920819.1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_020920818.1
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668375.2
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668374.2
XP_020920819.1;XP_020920818.1;XP_005668375.2;XP_005668374.2;XP_005668373.2;NP_001004034.1	XP_005668373.2
NP_001004042.1	NP_001004042.1
NP_001004043.1	NP_001004043.1
NP_001004045.1	NP_001004045.1
NP_001004049.1;XP_020944404.1	NP_001004049.1
NP_001004049.1;XP_020944404.1	XP_020944404.1
NP_001004050.1;XP_020939260.1	NP_001004050.1
NP_001004050.1;XP_020939260.1	XP_020939260.1
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665851.1
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665850.1
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_005665849.1
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_020954000.1
XP_005665851.1;XP_005665850.1;NP_001005157.1;XP_005665849.1;XP_020954000.1;XP_003123418.5	XP_003123418.5
NP_001005208.1	NP_001005208.1
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946776.1
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946775.1
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	NP_001005348.1
XP_020946776.1;XP_020946775.1;NP_001005348.1;XP_020946774.1	XP_020946774.1
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946794.1
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	NP_001005349.1
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946793.1
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946791.1
XP_020946794.1;NP_001005349.1;XP_020946793.1;XP_020946791.1;XP_020946792.1	XP_020946792.1
XP_013848366.1;XP_005659594.1;NP_001005726.1	XP_013848366.1
XP_013848366.1;XP_005659594.1;NP_001005726.1	XP_005659594.1
XP_013848366.1;XP_005659594.1;NP_001005726.1	NP_001005726.1
XP_013852454.1;NP_001005730.1	XP_013852454.1
XP_013852454.1;NP_001005730.1	NP_001005730.1
NP_001006592.1;XP_020941551.1	NP_001006592.1
NP_001006592.1;XP_020941551.1	XP_020941551.1
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939341.1
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939323.1
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939313.1
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939330.1
XP_020939341.1;XP_020939323.1;XP_020939313.1;XP_020939302.1;XP_020939330.1;XP_020939291.1;XP_020939289.1;NP_001007196.1;XP_020939347.1	XP_020939347.1
NP_001007518.1	NP_001007518.1
NP_001007519.1	NP_001007519.1
XP_020936071.1;XP_020936067.1;XP_020936062.1;XP_013847134.2;XP_005653010.2;XP_005653009.2;NP_001008481.1;XP_020936044.1;XP_005653011.2;XP_020936035.1;XP_005653013.2;XP_005653014.2;XP_005653012.2	XP_020936071.1
XP_020936071.1;XP_020936067.1;XP_020936062.1;XP_013847134.2;XP_005653010.2;XP_005653009.2;NP_001008481.1;XP_020936044.1;XP_005653011.2;XP_020936035.1;XP_005653013.2;XP_005653014.2;XP_005653012.2	XP_020936067.1
XP_020936071.1;XP_020936067.1;XP_020936062.1;XP_013847134.2;XP_005653010.2;XP_005653009.2;NP_001008481.1;XP_020936044.1;XP_005653011.2;XP_020936035.1;XP_005653013.2;XP_005653014.2;XP_005653012.2	XP_020936062.1
XP_020936071.1;XP_020936067.1;XP_020936062.1;XP_013847134.2;XP_005653010.2;XP_005653009.2;NP_001008481.1;XP_020936044.1;XP_005653011.2;XP_020936035.1;XP_005653013.2;XP_005653014.2;XP_005653012.2	XP_020936044.1
XP_020936071.1;XP_020936067.1;XP_020936062.1;XP_013847134.2;XP_005653010.2;XP_005653009.2;NP_001008481.1;XP_020936044.1;XP_005653011.2;XP_020936035.1;XP_005653013.2;XP_005653014.2;XP_005653012.2	XP_020936035.1
XP_013840479.1;XP_013840478.1;XP_005672726.1;NP_001008687.1	XP_013840479.1
XP_013840479.1;XP_013840478.1;XP_005672726.1;NP_001008687.1	XP_013840478.1
XP_013840479.1;XP_013840478.1;XP_005672726.1;NP_001008687.1	XP_005672726.1
XP_013840479.1;XP_013840478.1;XP_005672726.1;NP_001008687.1	NP_001008687.1
NP_001008688.1	NP_001008688.1
NP_001008689.1	NP_001008689.1
XP_020924276.1;NP_001008692.1	XP_020924276.1
XP_020924276.1;NP_001008692.1	NP_001008692.1
NP_001009576.1	NP_001009576.1
XP_005665171.1;XP_005665169.1;NP_001009582.1;XP_001928591.3	XP_005665171.1
XP_005665171.1;XP_005665169.1;NP_001009582.1;XP_001928591.3	XP_005665169.1
XP_005665171.1;XP_005665169.1;NP_001009582.1;XP_001928591.3	NP_001009582.1
XP_005665171.1;XP_005665169.1;NP_001009582.1;XP_001928591.3	XP_001928591.3
NP_001011507.1	NP_001011507.1
NP_001011509.1	NP_001011509.1
NP_001011727.1	NP_001011727.1
NP_001012407.1	NP_001012407.1
XP_020935215.1;XP_020935214.1;XP_020935213.1;XP_020935212.1;XP_020935210.1;NP_001012408.1;XP_020935209.1;XP_020935208.1;XP_020935207.1;XP_020935206.1;XP_020935205.1;XP_020935204.1;XP_020935203.1;XP_020935202.1;XP_020935217.1;XP_020935216.1;XP_020935218.1	XP_020935215.1
XP_020935215.1;XP_020935214.1;XP_020935213.1;XP_020935212.1;XP_020935210.1;NP_001012408.1;XP_020935209.1;XP_020935208.1;XP_020935207.1;XP_020935206.1;XP_020935205.1;XP_020935204.1;XP_020935203.1;XP_020935202.1;XP_020935217.1;XP_020935216.1;XP_020935218.1	XP_020935214.1
XP_020935215.1;XP_020935214.1;XP_020935213.1;XP_020935212.1;XP_020935210.1;NP_001012408.1;XP_020935209.1;XP_020935208.1;XP_020935207.1;XP_020935206.1;XP_020935205.1;XP_020935204.1;XP_020935203.1;XP_020935202.1;XP_020935217.1;XP_020935216.1;XP_020935218.1	XP_020935217.1
XP_020935215.1;XP_020935214.1;XP_020935213.1;XP_020935212.1;XP_020935210.1;NP_001012408.1;XP_020935209.1;XP_020935208.1;XP_020935207.1;XP_020935206.1;XP_020935205.1;XP_020935204.1;XP_020935203.1;XP_020935202.1;XP_020935217.1;XP_020935216.1;XP_020935218.1	XP_020935216.1
XP_020935215.1;XP_020935214.1;XP_020935213.1;XP_020935212.1;XP_020935210.1;NP_001012408.1;XP_020935209.1;XP_020935208.1;XP_020935207.1;XP_020935206.1;XP_020935205.1;XP_020935204.1;XP_020935203.1;XP_020935202.1;XP_020935217.1;XP_020935216.1;XP_020935218.1	XP_020935218.1
NP_001014971.1	NP_001014971.1
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956154.1
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956153.1
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956152.1
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956151.1
XP_020956154.1;XP_020956153.1;XP_020956152.1;XP_020956151.1;XP_020956150.1;NP_001018042.1	XP_020956150.1
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956170.1
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956169.1
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956168.1
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956167.1
XP_020956170.1;XP_020956169.1;XP_020956168.1;XP_020956167.1;XP_020956166.1;NP_001018043.1	XP_020956166.1
XP_005656356.1;NP_001020386.1	XP_005656356.1
XP_005656356.1;NP_001020386.1	NP_001020386.1
NP_001020387.1	NP_001020387.1
XP_020927838.1;NP_001020393.1;XP_020927839.1	XP_020927838.1
XP_020927838.1;NP_001020393.1;XP_020927839.1	NP_001020393.1
XP_020927838.1;NP_001020393.1;XP_020927839.1	XP_020927839.1
XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	XP_020946862.1
XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	XP_005664187.1
XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	NP_001025706.1
XP_020946862.1;XP_005664187.1;NP_001025706.1;XP_005664186.1	XP_005664186.1
XP_020946863.1;NP_001026954.1	XP_020946863.1
XP_020946863.1;NP_001026954.1	NP_001026954.1
NP_001026955.1	NP_001026955.1
XP_005657451.1;XP_005657450.1;NP_001026956.1	XP_005657451.1
XP_005657451.1;XP_005657450.1;NP_001026956.1	XP_005657450.1
XP_005657451.1;XP_005657450.1;NP_001026956.1	NP_001026956.1
NP_001026957.1	NP_001026957.1
NP_001026959.1	NP_001026959.1
NP_001026962.1	NP_001026962.1
XP_020957916.1;NP_001026963.1	XP_020957916.1
XP_020957916.1;NP_001026963.1	NP_001026963.1
NP_001026964.1	NP_001026964.1
NP_001026966.1;XP_020927841.1	NP_001026966.1
NP_001026966.1;XP_020927841.1	XP_020927841.1
NP_001026967.1	NP_001026967.1
NP_001027548.1;XP_020935163.1;XP_020935162.1	NP_001027548.1
NP_001027548.1;XP_020935163.1;XP_020935162.1	XP_020935163.1
NP_001027548.1;XP_020935163.1;XP_020935162.1	XP_020935162.1
NP_001028180.1	NP_001028180.1
NP_001028186.1;XP_005653783.1	NP_001028186.1
NP_001028186.1;XP_005653783.1	XP_005653783.1
NP_001032223.1	NP_001032223.1
NP_001032228.1	NP_001032228.1
NP_001032810.1	NP_001032810.1
NP_001033050.1	NP_001033050.1
NP_001033089.1;XP_020932989.1;XP_020932988.1	NP_001033089.1
NP_001033089.1;XP_020932989.1;XP_020932988.1	XP_020932989.1
NP_001033089.1;XP_020932989.1;XP_020932988.1	XP_020932988.1
NP_001033096.1	NP_001033096.1
NP_001033712.1	NP_001033712.1
NP_001033715.2;XP_020919727.1	NP_001033715.2
NP_001033715.2;XP_020919727.1	XP_020919727.1
NP_001033721.1	NP_001033721.1
NP_001033725.1;XP_020937733.1	NP_001033725.1
NP_001033725.1;XP_020937733.1	XP_020937733.1
NP_001033727.1	NP_001033727.1
NP_001033734.1	NP_001033734.1
NP_001034835.1	NP_001034835.1
NP_001037992.1	NP_001037992.1
NP_001038000.1;XP_005663527.1	NP_001038000.1
NP_001038000.1;XP_005663527.1	XP_005663527.1
NP_001038003.1	NP_001038003.1
XP_013839744.1;NP_001038006.1	XP_013839744.1
XP_013839744.1;NP_001038006.1	NP_001038006.1
NP_001038007.1	NP_001038007.1
NP_001038008.1;XP_003121835.2	NP_001038008.1
NP_001038008.1;XP_003121835.2	XP_003121835.2
NP_001038009.1;XP_020947258.1;XP_003355423.1;XP_013843702.1	NP_001038009.1
NP_001038009.1;XP_020947258.1;XP_003355423.1;XP_013843702.1	XP_020947258.1
NP_001038009.1;XP_020947258.1;XP_003355423.1;XP_013843702.1	XP_003355423.1
NP_001038009.1;XP_020947258.1;XP_003355423.1;XP_013843702.1	XP_013843702.1
XP_020937947.1;NP_001038016.1	XP_020937947.1
XP_020937947.1;NP_001038016.1	NP_001038016.1
XP_005673463.1;NP_001038020.1;XP_020936571.1	XP_005673463.1
XP_005673463.1;NP_001038020.1;XP_020936571.1	NP_001038020.1
XP_005673463.1;NP_001038020.1;XP_020936571.1	XP_020936571.1
XP_013852265.1;XP_005663204.1;NP_001038021.1	XP_013852265.1
XP_013852265.1;XP_005663204.1;NP_001038021.1	XP_005663204.1
XP_013852265.1;XP_005663204.1;NP_001038021.1	NP_001038021.1
XP_020944412.1;XP_020944411.1;NP_001038022.1	XP_020944412.1
XP_020944412.1;XP_020944411.1;NP_001038022.1	XP_020944411.1
XP_020944412.1;XP_020944411.1;NP_001038022.1	NP_001038022.1
NP_001038024.1	NP_001038024.1
NP_001038025.1	NP_001038025.1
NP_001038029.1	NP_001038029.1
NP_001038030.1	NP_001038030.1
XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	XP_020951792.1
XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	XP_013854702.1
XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	XP_003127889.1
XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	NP_001231180.1
XP_020951792.1;XP_013854702.1;XP_003127889.1;NP_001231180.1;NP_001038037.3	NP_001038037.3
XP_020927847.1;NP_001038039.1;XP_020927846.1	XP_020927847.1
XP_020927847.1;NP_001038039.1;XP_020927846.1	NP_001038039.1
XP_020927847.1;NP_001038039.1;XP_020927846.1	XP_020927846.1
XP_020932991.1;NP_001038040.1	XP_020932991.1
XP_020932991.1;NP_001038040.1	NP_001038040.1
NP_001038043.1	NP_001038043.1
NP_001038045.1	NP_001038045.1
XP_020949263.1;NP_001038049.1;XP_020949264.1	XP_020949263.1
XP_020949263.1;NP_001038049.1;XP_020949264.1	NP_001038049.1
XP_020949263.1;NP_001038049.1;XP_020949264.1	XP_020949264.1
NP_001038055.1	NP_001038055.1
NP_001038057.1	NP_001038057.1
XP_020957928.1;XP_020957927.1;XP_020957926.1;NP_001038066.1	XP_020957928.1
XP_020957928.1;XP_020957927.1;XP_020957926.1;NP_001038066.1	XP_020957927.1
XP_020957928.1;XP_020957927.1;XP_020957926.1;NP_001038066.1	XP_020957926.1
XP_020957928.1;XP_020957927.1;XP_020957926.1;NP_001038066.1	NP_001038066.1
NP_001038067.1	NP_001038067.1
NP_001038071.1	NP_001038071.1
XP_020949269.1;NP_001038072.1;XP_020949268.1	XP_020949269.1
XP_020949269.1;NP_001038072.1;XP_020949268.1	NP_001038072.1
XP_020949269.1;NP_001038072.1;XP_020949268.1	XP_020949268.1
NP_001038075.1	NP_001038075.1
NP_001038076.1	NP_001038076.1
NP_001038077.1	NP_001038077.1
XP_020932993.1;XP_020932992.1;XP_005672893.1;NP_001038078.1	XP_020932993.1
XP_020932993.1;XP_020932992.1;XP_005672893.1;NP_001038078.1	XP_020932992.1
XP_020932993.1;XP_020932992.1;XP_005672893.1;NP_001038078.1	XP_005672893.1
XP_020932993.1;XP_020932992.1;XP_005672893.1;NP_001038078.1	NP_001038078.1
NP_001038079.1	NP_001038079.1
NP_001038084.1	NP_001038084.1
NP_001038086.3;XP_013846182.1	NP_001038086.3
NP_001038086.3;XP_013846182.1	XP_013846182.1
XP_020957938.1;XP_020957937.1;XP_020957936.1;XP_020957935.1;XP_020957933.1;XP_020957932.1;XP_005667751.1;XP_005667750.1;XP_005667749.1;XP_005667748.1;NP_001038087.1	XP_020957938.1
XP_020957938.1;XP_020957937.1;XP_020957936.1;XP_020957935.1;XP_020957933.1;XP_020957932.1;XP_005667751.1;XP_005667750.1;XP_005667749.1;XP_005667748.1;NP_001038087.1	XP_020957937.1
XP_020957938.1;XP_020957937.1;XP_020957936.1;XP_020957935.1;XP_020957933.1;XP_020957932.1;XP_005667751.1;XP_005667750.1;XP_005667749.1;XP_005667748.1;NP_001038087.1	XP_020957936.1
XP_020957938.1;XP_020957937.1;XP_020957936.1;XP_020957935.1;XP_020957933.1;XP_020957932.1;XP_005667751.1;XP_005667750.1;XP_005667749.1;XP_005667748.1;NP_001038087.1	XP_020957935.1
XP_020957938.1;XP_020957937.1;XP_020957936.1;XP_020957935.1;XP_020957933.1;XP_020957932.1;XP_005667751.1;XP_005667750.1;XP_005667749.1;XP_005667748.1;NP_001038087.1	XP_020957933.1
NP_001041537.1;XP_020924286.1	NP_001041537.1
NP_001041537.1;XP_020924286.1	XP_020924286.1
NP_001041538.1	NP_001041538.1
NP_001070681.1	NP_001070681.1
NP_001070685.1	NP_001070685.1
XP_005663912.1;NP_001070686.1;XP_005663911.1	XP_005663912.1
XP_005663912.1;NP_001070686.1;XP_005663911.1	NP_001070686.1
XP_005663912.1;NP_001070686.1;XP_005663911.1	XP_005663911.1
XP_020924292.1;XP_020924291.1;NP_001070689.1;XP_020924289.1	XP_020924292.1
XP_020924292.1;XP_020924291.1;NP_001070689.1;XP_020924289.1	XP_020924291.1
XP_020924292.1;XP_020924291.1;NP_001070689.1;XP_020924289.1	NP_001070689.1
XP_020924292.1;XP_020924291.1;NP_001070689.1;XP_020924289.1	XP_020924289.1
NP_001070690.1	NP_001070690.1
XP_020921924.1;XP_020921923.1;NP_001072130.1	XP_020921924.1
XP_020921924.1;XP_020921923.1;NP_001072130.1	XP_020921923.1
XP_020921924.1;XP_020921923.1;NP_001072130.1	NP_001072130.1
NP_001072131.1	NP_001072131.1
NP_001072132.1	NP_001072132.1
NP_001072139.1	NP_001072139.1
XP_005661779.2;NP_001072141.1	XP_005661779.2
XP_005661779.2;NP_001072141.1	NP_001072141.1
XP_020939992.1;XP_005659996.1;NP_001072145.1	XP_020939992.1
XP_020939992.1;XP_005659996.1;NP_001072145.1	XP_005659996.1
XP_020939992.1;XP_005659996.1;NP_001072145.1	NP_001072145.1
NP_001072147.1	NP_001072147.1
XP_020954051.1;XP_020954050.1;XP_020954049.1;XP_020954048.1;XP_020954047.1;XP_020954045.1;NP_001072151.1;XP_020954044.1;XP_020954043.1;XP_020954042.1;XP_020954041.1;XP_020954040.1;XP_020954053.1;XP_020954052.1;XP_020954054.1	XP_020954051.1
XP_020954051.1;XP_020954050.1;XP_020954049.1;XP_020954048.1;XP_020954047.1;XP_020954045.1;NP_001072151.1;XP_020954044.1;XP_020954043.1;XP_020954042.1;XP_020954041.1;XP_020954040.1;XP_020954053.1;XP_020954052.1;XP_020954054.1	XP_020954050.1
XP_020954051.1;XP_020954050.1;XP_020954049.1;XP_020954048.1;XP_020954047.1;XP_020954045.1;NP_001072151.1;XP_020954044.1;XP_020954043.1;XP_020954042.1;XP_020954041.1;XP_020954040.1;XP_020954053.1;XP_020954052.1;XP_020954054.1	XP_020954053.1
