Majority protein IDs	protein_ID	Gene Symbol
NP_001098770.1;XP_005663091.1;XP_013852148.1	NP_001098770.1	COPS5
NP_001098770.1;XP_005663091.1;XP_013852148.1	XP_005663091.1	COPS5
NP_001098770.1;XP_005663091.1;XP_013852148.1	XP_013852148.1	COPS5
NP_001098771.1;XP_020927742.1	NP_001098771.1	COPS2
NP_001098771.1;XP_020927742.1	XP_020927742.1	COPS2
XP_020955925.1;XP_013844865.1;NP_001098774.1;XP_005656621.1;XP_013844866.1	XP_020955925.1	COPS4
XP_020955925.1;XP_013844865.1;NP_001098774.1;XP_005656621.1;XP_013844866.1	XP_013844865.1	COPS4
XP_020955925.1;XP_013844865.1;NP_001098774.1;XP_005656621.1;XP_013844866.1	NP_001098774.1	COPS4
XP_020955925.1;XP_013844865.1;NP_001098774.1;XP_005656621.1;XP_013844866.1	XP_005656621.1	COPS4
XP_020955925.1;XP_013844865.1;NP_001098774.1;XP_005656621.1;XP_013844866.1	XP_013844866.1	COPS4
NP_001098775.1	NP_001098775.1	SEC62
NP_001098778.1	NP_001098778.1	SIRT5
NP_001103415.1	NP_001103415.1	CDH13
NP_001103528.1	NP_001103528.1	TRARG1
NP_001103898.1;XP_020953525.1;XP_020953524.1	NP_001103898.1	CNPY3
NP_001103898.1;XP_020953525.1;XP_020953524.1	XP_020953525.1	CNPY3
NP_001103898.1;XP_020953525.1;XP_020953524.1	XP_020953524.1	CNPY3
NP_001104726.1	NP_001104726.1	SERPINB9
XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	XP_020944105.1	LMNA
XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	XP_020944104.1	LMNA
XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	XP_020944103.1	LMNA
XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	XP_020944102.1	LMNA
XP_020944105.1;XP_020944104.1;XP_020944103.1;XP_020944102.1;XP_020944101.1;XP_020944100.1;XP_020944099.1;XP_020944098.1;XP_013852415.1;XP_005663329.1;NP_001104727.2	XP_020944101.1	LMNA
NP_001106146.1;XP_005659547.1	NP_001106146.1	SUMO1
NP_001106146.1;XP_005659547.1	XP_005659547.1	LOC100737265
NP_001106151.1;XP_020923847.1	NP_001106151.1	TKT
NP_001106151.1;XP_020923847.1	XP_020923847.1	TKT
NP_001106165.1;XP_020932286.1	NP_001106165.1	HNRNPAB
NP_001106165.1;XP_020932286.1	XP_020932286.1	HNRNPAB
XP_013833453.1;NP_001309736.1;XP_020953939.1;XP_005666141.1;XP_020953937.1;XP_020953936.1;XP_013833452.1;NP_001309735.1;NP_001106484.1	XP_013833453.1	PLA2G7
XP_013833453.1;NP_001309736.1;XP_020953939.1;XP_005666141.1;XP_020953937.1;XP_020953936.1;XP_013833452.1;NP_001309735.1;NP_001106484.1	XP_020953939.1	PLA2G7
XP_013833453.1;NP_001309736.1;XP_020953939.1;XP_005666141.1;XP_020953937.1;XP_020953936.1;XP_013833452.1;NP_001309735.1;NP_001106484.1	XP_020953937.1	PLA2G7
XP_013833453.1;NP_001309736.1;XP_020953939.1;XP_005666141.1;XP_020953937.1;XP_020953936.1;XP_013833452.1;NP_001309735.1;NP_001106484.1	XP_020953936.1	PLA2G7
XP_013833453.1;NP_001309736.1;XP_020953939.1;XP_005666141.1;XP_020953937.1;XP_020953936.1;XP_013833452.1;NP_001309735.1;NP_001106484.1	XP_013833452.1	PLA2G7
XP_020933449.1;XP_005660542.2;NP_001106518.1;XP_020933955.1	XP_020933449.1	CRAT
XP_020933449.1;XP_005660542.2;NP_001106518.1;XP_020933955.1	XP_005660542.2	CRAT
XP_020933449.1;XP_005660542.2;NP_001106518.1;XP_020933955.1	NP_001106518.1	CRAT
XP_020933449.1;XP_005660542.2;NP_001106518.1;XP_020933955.1	XP_020933955.1	CRAT
NP_001106688.1	NP_001106688.1	RPL7
XP_020947911.1;NP_001106758.1;XP_013843801.1	XP_020947911.1	LDHB
XP_020947911.1;NP_001106758.1;XP_013843801.1	NP_001106758.1	LDHB
XP_020947911.1;NP_001106758.1;XP_013843801.1	XP_013843801.1	LDHB
NP_001106907.1	NP_001106907.1	LRPAP1
NP_001106914.1;XP_020953529.1	NP_001106914.1	ECI2
NP_001106914.1;XP_020953529.1	XP_020953529.1	ECI2
NP_001106915.1;XP_020948867.1;XP_005656086.1;XP_020948865.1	NP_001106915.1	CAPZB
NP_001106915.1;XP_020948867.1;XP_005656086.1;XP_020948865.1	XP_020948867.1	CAPZB
NP_001106915.1;XP_020948867.1;XP_005656086.1;XP_020948865.1	XP_005656086.1	CAPZB
NP_001106915.1;XP_020948867.1;XP_005656086.1;XP_020948865.1	XP_020948865.1	CAPZB
NP_001107167.1	NP_001107167.1	SLA-DRB1
NP_001107168.1;CON__ENSEMBL:ENSBTAP00000025008	NP_001107168.1	TUBB1
NP_001107168.1;CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	-
NP_001107174.1;XP_020953531.1;XP_020953534.1;XP_020953533.1;XP_020953536.1;XP_020953535.1	XP_020953531.1	SLA-2
NP_001107174.1;XP_020953531.1;XP_020953534.1;XP_020953533.1;XP_020953536.1;XP_020953535.1	XP_020953534.1	SLA-2
NP_001107174.1;XP_020953531.1;XP_020953534.1;XP_020953533.1;XP_020953536.1;XP_020953535.1	XP_020953533.1	SLA-2
NP_001107174.1;XP_020953531.1;XP_020953534.1;XP_020953533.1;XP_020953536.1;XP_020953535.1	XP_020953536.1	SLA-2
NP_001107174.1;XP_020953531.1;XP_020953534.1;XP_020953533.1;XP_020953536.1;XP_020953535.1	XP_020953535.1	SLA-2
XP_013833074.2;NP_001107176.1	XP_013833074.2	SLA-6
XP_013833074.2;NP_001107176.1	NP_001107176.1	SLA-6
NP_001107178.1	NP_001107178.1	SLA-DRA
NP_001107528.1	NP_001107528.1	SLA-5
XP_020921888.1;XP_020921895.1;XP_020921894.1;XP_020921893.1;XP_020921892.1;XP_020921890.1;XP_020921889.1;NP_001107741.1;XP_020921886.1;XP_020921896.1;XP_020921887.1;XP_020921897.1	XP_020921895.1	ACACA
XP_020921888.1;XP_020921895.1;XP_020921894.1;XP_020921893.1;XP_020921892.1;XP_020921890.1;XP_020921889.1;NP_001107741.1;XP_020921886.1;XP_020921896.1;XP_020921887.1;XP_020921897.1	XP_020921894.1	ACACA
XP_020921888.1;XP_020921895.1;XP_020921894.1;XP_020921893.1;XP_020921892.1;XP_020921890.1;XP_020921889.1;NP_001107741.1;XP_020921886.1;XP_020921896.1;XP_020921887.1;XP_020921897.1	XP_020921893.1	ACACA
XP_020921888.1;XP_020921895.1;XP_020921894.1;XP_020921893.1;XP_020921892.1;XP_020921890.1;XP_020921889.1;NP_001107741.1;XP_020921886.1;XP_020921896.1;XP_020921887.1;XP_020921897.1	XP_020921896.1	ACACA
XP_020921888.1;XP_020921895.1;XP_020921894.1;XP_020921893.1;XP_020921892.1;XP_020921890.1;XP_020921889.1;NP_001107741.1;XP_020921886.1;XP_020921896.1;XP_020921887.1;XP_020921897.1	XP_020921897.1	ACACA
NP_001107743.1;XP_020948844.1	NP_001107743.1	SIRT2
NP_001107743.1;XP_020948844.1	XP_020948844.1	SIRT2
NP_001107753.1	NP_001107753.1	RELA
XP_020955928.1;XP_020955927.1;XP_020955926.1;NP_001107755.1	XP_020955928.1	AIMP1
XP_020955928.1;XP_020955927.1;XP_020955926.1;NP_001107755.1	XP_020955927.1	AIMP1
XP_020955928.1;XP_020955927.1;XP_020955926.1;NP_001107755.1	XP_020955926.1	AIMP1
XP_020955928.1;XP_020955927.1;XP_020955926.1;NP_001107755.1	NP_001107755.1	AIMP1
NP_001107756.1	NP_001107756.1	RPL5
NP_001107759.1	NP_001107759.1	SGCB
XP_020946538.1;XP_020946537.1;XP_020946536.1;XP_020946535.1;NP_001108148.1;XP_020946534.1;XP_020946533.1;XP_020946532.1;XP_020946530.1;XP_020946529.1;XP_020946528.1	XP_020946538.1	LIMA1
