Majority protein IDs	protein_ID	Gene Symbol
XP_020941381.1;NP_001231168.1	XP_020941381.1	NRBP1
XP_020941381.1;NP_001231168.1	NP_001231168.1	NRBP1
NP_001231169.1	NP_001231169.1	ARHGDIB
NP_001231176.1	NP_001231176.1	NUDT21
XP_020919699.1;NP_001231177.1	XP_020919699.1	PTER
XP_020919699.1;NP_001231177.1	NP_001231177.1	PTER
NP_001231183.1	NP_001231183.1	RAB5C
NP_001231184.1;NP_001231185.1	NP_001231184.1	LAMP2
NP_001231184.1;NP_001231185.1	NP_001231185.1	LAMP2
NP_001231187.1;XP_020957767.1	NP_001231187.1	ME3
NP_001231187.1;XP_020957767.1	XP_020957767.1	ME3
NP_001231189.1	NP_001231189.1	RARS
NP_001231190.1;XP_013851600.1	NP_001231190.1	EFEMP1
NP_001231190.1;XP_013851600.1	XP_013851600.1	EFEMP1
XP_020930264.1;XP_020930263.1;NP_001231192.1;XP_013839740.1;XP_005672029.1	XP_020930264.1	LNPK
XP_020930264.1;XP_020930263.1;NP_001231192.1;XP_013839740.1;XP_005672029.1	XP_020930263.1	LNPK
XP_020930264.1;XP_020930263.1;NP_001231192.1;XP_013839740.1;XP_005672029.1	NP_001231192.1	LNPK
XP_020930264.1;XP_020930263.1;NP_001231192.1;XP_013839740.1;XP_005672029.1	XP_013839740.1	LNPK
XP_020930264.1;XP_020930263.1;NP_001231192.1;XP_013839740.1;XP_005672029.1	XP_005672029.1	LNPK
NP_001231205.1;XP_013840827.1	NP_001231205.1	TXNL1
NP_001231205.1;XP_013840827.1	XP_013840827.1	TXNL1
NP_001231212.1;XP_020949001.1	NP_001231212.1	C1QB
NP_001231212.1;XP_020949001.1	XP_020949001.1	C1QB
XP_020949253.1;NP_001231215.1	XP_020949253.1	C1QC
XP_020949253.1;NP_001231215.1	NP_001231215.1	C1QC
NP_001231230.1	NP_001231230.1	IPO5
XP_020932924.1;NP_001231234.1	XP_020932924.1	NOP56
XP_020932924.1;NP_001231234.1	NP_001231234.1	NOP56
NP_001231236.1;XP_020935554.1	NP_001231236.1	DCTN4
NP_001231236.1;XP_020935554.1	XP_020935554.1	DCTN4
XP_005664048.1;NP_001231246.1;NP_001231245.1;XP_020946741.1;XP_020946742.1;XP_005664050.1	XP_005664048.1	NAP1L1
XP_005664048.1;NP_001231246.1;NP_001231245.1;XP_020946741.1;XP_020946742.1;XP_005664050.1	NP_001231246.1	NAP1L1
XP_005664048.1;NP_001231246.1;NP_001231245.1;XP_020946741.1;XP_020946742.1;XP_005664050.1	XP_020946741.1	NAP1L1
XP_005664048.1;NP_001231246.1;NP_001231245.1;XP_020946741.1;XP_020946742.1;XP_005664050.1	XP_020946742.1	NAP1L1
XP_005664048.1;NP_001231246.1;NP_001231245.1;XP_020946741.1;XP_020946742.1;XP_005664050.1	XP_005664050.1	NAP1L1
XP_005660263.1;NP_001231254.1;NP_001231257.1	XP_005660263.1	HINT2
XP_005660263.1;NP_001231254.1;NP_001231257.1	NP_001231254.1	HINT2
XP_005660263.1;NP_001231254.1;NP_001231257.1	NP_001231257.1	HINT2
NP_001231258.1;XP_005669119.2;XP_020921794.1	NP_001231258.1	CRLF3
NP_001231258.1;XP_005669119.2;XP_020921794.1	XP_005669119.2	CRLF3
NP_001231258.1;XP_005669119.2;XP_020921794.1	XP_020921794.1	CRLF3
NP_001231260.1	NP_001231260.1	NEFL
NP_001231264.1	NP_001231264.1	GAP43
XP_013845424.1;NP_001231268.1	XP_013845424.1	PIGS
XP_013845424.1;NP_001231268.1	NP_001231268.1	PIGS
XP_020949049.1;XP_020949048.1;NP_001231270.1;XP_005659297.1;XP_003121294.1	XP_020949049.1	PTP4A2
XP_020949049.1;XP_020949048.1;NP_001231270.1;XP_005659297.1;XP_003121294.1	XP_020949048.1	PTP4A2
XP_020949049.1;XP_020949048.1;NP_001231270.1;XP_005659297.1;XP_003121294.1	NP_001231270.1	PTP4A2
XP_020949049.1;XP_020949048.1;NP_001231270.1;XP_005659297.1;XP_003121294.1	XP_005659297.1	PTP4A1
XP_020949049.1;XP_020949048.1;NP_001231270.1;XP_005659297.1;XP_003121294.1	XP_003121294.1	PTP4A1
NP_001231271.1;XP_020924132.1;XP_020924134.1;XP_020924133.1	NP_001231271.1	NIT2
NP_001231271.1;XP_020924132.1;XP_020924134.1;XP_020924133.1	XP_020924132.1	NIT2
NP_001231271.1;XP_020924132.1;XP_020924134.1;XP_020924133.1	XP_020924134.1	NIT2
NP_001231271.1;XP_020924132.1;XP_020924134.1;XP_020924133.1	XP_020924133.1	NIT2
XP_020956015.1;NP_001231273.1;NP_001231272.1	XP_020956015.1	TMEM33
XP_020956015.1;NP_001231273.1;NP_001231272.1	NP_001231273.1	TMEM33
XP_020956015.1;NP_001231273.1;NP_001231272.1	NP_001231272.1	TMEM33
XP_020923876.1;XP_020923875.1;XP_020923874.1;XP_020923873.1;NP_001231276.1	XP_020923876.1	ADPRH
XP_020923876.1;XP_020923875.1;XP_020923874.1;XP_020923873.1;NP_001231276.1	XP_020923875.1	ADPRH
XP_020923876.1;XP_020923875.1;XP_020923874.1;XP_020923873.1;NP_001231276.1	XP_020923874.1	ADPRH
XP_020923876.1;XP_020923875.1;XP_020923874.1;XP_020923873.1;NP_001231276.1	XP_020923873.1	ADPRH
XP_020923876.1;XP_020923875.1;XP_020923874.1;XP_020923873.1;NP_001231276.1	NP_001231276.1	ADPRH
NP_001231279.1	NP_001231279.1	CMBL
NP_001231282.1	NP_001231282.1	PSMB1
XP_020923891.1;NP_001231283.1;XP_020923892.1;XP_013835765.1;XP_005668256.1;XP_003130856.1	XP_020923891.1	SEC61A1
XP_020923891.1;NP_001231283.1;XP_020923892.1;XP_013835765.1;XP_005668256.1;XP_003130856.1	XP_020923892.1	SEC61A1
XP_020923891.1;NP_001231283.1;XP_020923892.1;XP_013835765.1;XP_005668256.1;XP_003130856.1	XP_013835765.1	SEC61A2
XP_020923891.1;NP_001231283.1;XP_020923892.1;XP_013835765.1;XP_005668256.1;XP_003130856.1	XP_005668256.1	SEC61A2
XP_020923891.1;NP_001231283.1;XP_020923892.1;XP_013835765.1;XP_005668256.1;XP_003130856.1	XP_003130856.1	SEC61A2
NP_001231289.1	NP_001231289.1	SMTN
NP_001231300.1	NP_001231300.1	PIN1
XP_005671198.1;XP_005671197.1;NP_001231304.1;XP_005671196.1;XP_005671195.1;NP_001231303.1;NP_001231302.1;XP_005671194.1	XP_005671198.1	PRXL2A
XP_005671198.1;XP_005671197.1;NP_001231304.1;XP_005671196.1;XP_005671195.1;NP_001231303.1;NP_001231302.1;XP_005671194.1	XP_005671197.1	PRXL2A
XP_005671198.1;XP_005671197.1;NP_001231304.1;XP_005671196.1;XP_005671195.1;NP_001231303.1;NP_001231302.1;XP_005671194.1	XP_005671196.1	PRXL2A
XP_005671198.1;XP_005671197.1;NP_001231304.1;XP_005671196.1;XP_005671195.1;NP_001231303.1;NP_001231302.1;XP_005671194.1	XP_005671195.1	PRXL2A
XP_005671198.1;XP_005671197.1;NP_001231304.1;XP_005671196.1;XP_005671195.1;NP_001231303.1;NP_001231302.1;XP_005671194.1	XP_005671194.1	PRXL2A
NP_001231305.1	NP_001231305.1	THRSP
XP_005671209.1;XP_005671208.1;XP_005671207.1;NP_001231312.1;NP_001231311.1	XP_005671209.1	GHITM
XP_005671209.1;XP_005671208.1;XP_005671207.1;NP_001231312.1;NP_001231311.1	XP_005671208.1	GHITM
XP_005671209.1;XP_005671208.1;XP_005671207.1;NP_001231312.1;NP_001231311.1	XP_005671207.1	GHITM
XP_005671209.1;XP_005671208.1;XP_005671207.1;NP_001231312.1;NP_001231311.1	NP_001231312.1	GHITM
XP_005671209.1;XP_005671208.1;XP_005671207.1;NP_001231312.1;NP_001231311.1	NP_001231311.1	GHITM
NP_001231313.1	NP_001231313.1	NAPA
NP_001231315.1;XP_020956018.1	NP_001231315.1	PPID
NP_001231315.1;XP_020956018.1	XP_020956018.1	PPID
NP_001231316.1;XP_020944160.1;XP_020944159.1;XP_020944158.1;XP_020944156.1;XP_020944155.1;XP_020944154.1;XP_020944161.1	XP_020944160.1	TPD52
NP_001231316.1;XP_020944160.1;XP_020944159.1;XP_020944158.1;XP_020944156.1;XP_020944155.1;XP_020944154.1;XP_020944161.1	XP_020944159.1	TPD52
NP_001231316.1;XP_020944160.1;XP_020944159.1;XP_020944158.1;XP_020944156.1;XP_020944155.1;XP_020944154.1;XP_020944161.1	XP_020944158.1	TPD52
NP_001231316.1;XP_020944160.1;XP_020944159.1;XP_020944158.1;XP_020944156.1;XP_020944155.1;XP_020944154.1;XP_020944161.1	XP_020944156.1	TPD52
NP_001231316.1;XP_020944160.1;XP_020944159.1;XP_020944158.1;XP_020944156.1;XP_020944155.1;XP_020944154.1;XP_020944161.1	XP_020944161.1	TPD52
NP_001231317.1;XP_020919666.1	NP_001231317.1	CCNY
NP_001231317.1;XP_020919666.1	XP_020919666.1	CCNY
NP_001231318.1;XP_020919924.1	NP_001231318.1	SCCPDH
NP_001231318.1;XP_020919924.1	XP_020919924.1	LOC102162044
XP_013845657.1;XP_005652865.1;NP_001231321.1	XP_013845657.1	SGTA
XP_013845657.1;XP_005652865.1;NP_001231321.1	XP_005652865.1	SGTA
XP_013845657.1;XP_005652865.1;NP_001231321.1	NP_001231321.1	SGTA
NP_001231322.1	NP_001231322.1	SBDS
NP_001231326.1;XP_005668766.1	NP_001231326.1	GFAP
NP_001231326.1;XP_005668766.1	XP_005668766.1	GFAP
NP_001231327.1	NP_001231327.1	PDHB
NP_001231332.1;XP_020953940.1	NP_001231332.1	ETFA
NP_001231332.1;XP_020953940.1	XP_020953940.1	ETFA
NP_001231333.1	NP_001231333.1	PPP6C
XP_013851127.1;XP_020941479.1;XP_013851126.1;NP_001231341.1	XP_013851127.1	HMOX2
XP_013851127.1;XP_020941479.1;XP_013851126.1;NP_001231341.1	XP_020941479.1	HMOX2
XP_013851127.1;XP_020941479.1;XP_013851126.1;NP_001231341.1	XP_013851126.1	HMOX2
XP_013851127.1;XP_020941479.1;XP_013851126.1;NP_001231341.1	NP_001231341.1	HMOX2
XP_020944149.1;XP_020944143.1;NP_001231343.2;XP_020944147.1;XP_020944146.1;XP_020944145.1;XP_020944144.1	XP_020944149.1	SDCBP
XP_020944149.1;XP_020944143.1;NP_001231343.2;XP_020944147.1;XP_020944146.1;XP_020944145.1;XP_020944144.1	XP_020944147.1	SDCBP
XP_020944149.1;XP_020944143.1;NP_001231343.2;XP_020944147.1;XP_020944146.1;XP_020944145.1;XP_020944144.1	XP_020944146.1	SDCBP
XP_020944149.1;XP_020944143.1;NP_001231343.2;XP_020944147.1;XP_020944146.1;XP_020944145.1;XP_020944144.1	XP_020944145.1	SDCBP
XP_020944149.1;XP_020944143.1;NP_001231343.2;XP_020944147.1;XP_020944146.1;XP_020944145.1;XP_020944144.1	XP_020944144.1	SDCBP
NP_001231345.1;CON__P02584	NP_001231345.1	PFN1
NP_001231345.1;CON__P02584	CON__P02584	-
NP_001231353.1	NP_001231353.1	BCAS2
NP_001231357.1;XP_020935129.1	NP_001231357.1	CLIC2
NP_001231357.1;XP_020935129.1	XP_020935129.1	CLIC2
NP_001231359.1	NP_001231359.1	DNAJB1
XP_005666120.1;NP_001231362.1	XP_005666120.1	HSP90AB1
XP_005666120.1;NP_001231362.1	NP_001231362.1	HSP90AB1
XP_020944209.1;XP_020944208.1;XP_020944207.1;XP_020944206.1;XP_020944205.1;XP_020944204.1;XP_020944203.1;XP_020944202.1;XP_020944201.1;XP_020944200.1;XP_020944199.1;XP_013852317.1;XP_013852316.1;XP_005663257.1;XP_005663256.1;XP_005663255.1;XP_005663254.1;XP_005663253.1;XP_005663252.1;XP_005663251.1;XP_005663250.1;XP_005663249.1;NP_001231363.1	XP_020944209.1	DCAF8
XP_020944209.1;XP_020944208.1;XP_020944207.1;XP_020944206.1;XP_020944205.1;XP_020944204.1;XP_020944203.1;XP_020944202.1;XP_020944201.1;XP_020944200.1;XP_020944199.1;XP_013852317.1;XP_013852316.1;XP_005663257.1;XP_005663256.1;XP_005663255.1;XP_005663254.1;XP_005663253.1;XP_005663252.1;XP_005663251.1;XP_005663250.1;XP_005663249.1;NP_001231363.1	XP_020944208.1	DCAF8
XP_020944209.1;XP_020944208.1;XP_020944207.1;XP_020944206.1;XP_020944205.1;XP_020944204.1;XP_020944203.1;XP_020944202.1;XP_020944201.1;XP_020944200.1;XP_020944199.1;XP_013852317.1;XP_013852316.1;XP_005663257.1;XP_005663256.1;XP_005663255.1;XP_005663254.1;XP_005663253.1;XP_005663252.1;XP_005663251.1;XP_005663250.1;XP_005663249.1;NP_001231363.1	XP_020944207.1	DCAF8
XP_020944209.1;XP_020944208.1;XP_020944207.1;XP_020944206.1;XP_020944205.1;XP_020944204.1;XP_020944203.1;XP_020944202.1;XP_020944201.1;XP_020944200.1;XP_020944199.1;XP_013852317.1;XP_013852316.1;XP_005663257.1;XP_005663256.1;XP_005663255.1;XP_005663254.1;XP_005663253.1;XP_005663252.1;XP_005663251.1;XP_005663250.1;XP_005663249.1;NP_001231363.1	XP_020944206.1	DCAF8
XP_020944209.1;XP_020944208.1;XP_020944207.1;XP_020944206.1;XP_020944205.1;XP_020944204.1;XP_020944203.1;XP_020944202.1;XP_020944201.1;XP_020944200.1;XP_020944199.1;XP_013852317.1;XP_013852316.1;XP_005663257.1;XP_005663256.1;XP_005663255.1;XP_005663254.1;XP_005663253.1;XP_005663252.1;XP_005663251.1;XP_005663250.1;XP_005663249.1;NP_001231363.1	XP_020944205.1	DCAF8
NP_001231364.1	NP_001231364.1	PLP2
XP_020924181.1;XP_020924180.1;NP_001231366.1	XP_020924181.1	RHOA
XP_020924181.1;XP_020924180.1;NP_001231366.1	XP_020924180.1	RHOA
XP_020924181.1;XP_020924180.1;NP_001231366.1	NP_001231366.1	RHOA
XP_020944279.1;XP_020944278.1;XP_020944277.1;XP_020944276.1;XP_020944275.1;XP_020944274.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944270.1;XP_020944269.1;XP_020944268.1;XP_020944267.1;XP_020944266.1;XP_020944265.1;XP_020944264.1;XP_020944263.1;XP_020944262.1;NP_001231368.1;XP_020944284.1;XP_020944283.1;XP_020944282.1;XP_020944281.1;XP_020944280.1	XP_020944284.1	FAM49B
XP_020944279.1;XP_020944278.1;XP_020944277.1;XP_020944276.1;XP_020944275.1;XP_020944274.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944270.1;XP_020944269.1;XP_020944268.1;XP_020944267.1;XP_020944266.1;XP_020944265.1;XP_020944264.1;XP_020944263.1;XP_020944262.1;NP_001231368.1;XP_020944284.1;XP_020944283.1;XP_020944282.1;XP_020944281.1;XP_020944280.1	XP_020944283.1	FAM49B
XP_020944279.1;XP_020944278.1;XP_020944277.1;XP_020944276.1;XP_020944275.1;XP_020944274.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944270.1;XP_020944269.1;XP_020944268.1;XP_020944267.1;XP_020944266.1;XP_020944265.1;XP_020944264.1;XP_020944263.1;XP_020944262.1;NP_001231368.1;XP_020944284.1;XP_020944283.1;XP_020944282.1;XP_020944281.1;XP_020944280.1	XP_020944282.1	FAM49B
XP_020944279.1;XP_020944278.1;XP_020944277.1;XP_020944276.1;XP_020944275.1;XP_020944274.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944270.1;XP_020944269.1;XP_020944268.1;XP_020944267.1;XP_020944266.1;XP_020944265.1;XP_020944264.1;XP_020944263.1;XP_020944262.1;NP_001231368.1;XP_020944284.1;XP_020944283.1;XP_020944282.1;XP_020944281.1;XP_020944280.1	XP_020944281.1	FAM49B
XP_020944279.1;XP_020944278.1;XP_020944277.1;XP_020944276.1;XP_020944275.1;XP_020944274.1;XP_020944273.1;XP_020944272.1;XP_020944271.1;XP_020944270.1;XP_020944269.1;XP_020944268.1;XP_020944267.1;XP_020944266.1;XP_020944265.1;XP_020944264.1;XP_020944263.1;XP_020944262.1;NP_001231368.1;XP_020944284.1;XP_020944283.1;XP_020944282.1;XP_020944281.1;XP_020944280.1	XP_020944280.1	FAM49B
NP_001231372.1;XP_005672864.1;XP_005672865.1	NP_001231372.1	NSFL1C
NP_001231372.1;XP_005672864.1;XP_005672865.1	XP_005672864.1	NSFL1C
NP_001231372.1;XP_005672864.1;XP_005672865.1	XP_005672865.1	NSFL1C
NP_001231379.1;NP_001231378.1;XP_013843207.1;XP_013843206.1	NP_001231379.1	NME3
NP_001231379.1;NP_001231378.1;XP_013843207.1;XP_013843206.1	NP_001231378.1	NME3
NP_001231379.1;NP_001231378.1;XP_013843207.1;XP_013843206.1	XP_013843207.1	NME3
NP_001231379.1;NP_001231378.1;XP_013843207.1;XP_013843206.1	XP_013843206.1	NME3
NP_001231382.1;XP_020948982.1;XP_020948981.1;NP_001231381.1	NP_001231382.1	AP2S1
NP_001231382.1;XP_020948982.1;XP_020948981.1;NP_001231381.1	XP_020948982.1	AP2S1
NP_001231382.1;XP_020948982.1;XP_020948981.1;NP_001231381.1	XP_020948981.1	AP2S1
NP_001231382.1;XP_020948982.1;XP_020948981.1;NP_001231381.1	NP_001231381.1	AP2S1
NP_001231384.1	NP_001231384.1	PSMB4
NP_001231390.1;XP_020934411.1;XP_020934462.1	NP_001231390.1	GMFB
NP_001231390.1;XP_020934411.1;XP_020934462.1	XP_020934411.1	GMFB
NP_001231390.1;XP_020934411.1;XP_020934462.1	XP_020934462.1	GMFB
NP_001231396.1	NP_001231396.1	ALDH5A1
NP_001231397.1;XP_020953951.1	NP_001231397.1	PSMA4
NP_001231397.1;XP_020953951.1	XP_020953951.1	PSMA4
NP_001231401.1	NP_001231401.1	MYL9
NP_001231402.1	NP_001231402.1	IGF2R
NP_001231403.1	NP_001231403.1	PRDX2
NP_001231408.1	NP_001231408.1	DERL1
XP_020932895.1;NP_001231414.1;XP_005672834.1	XP_020932895.1	PTPRA
XP_020932895.1;NP_001231414.1;XP_005672834.1	NP_001231414.1	PTPRA
XP_020932895.1;NP_001231414.1;XP_005672834.1	XP_005672834.1	PTPRA
NP_001231417.1;XP_013854072.1	NP_001231417.1	NUCB1
NP_001231417.1;XP_013854072.1	XP_013854072.1	NUCB1
XP_020930173.1;NP_001231422.1	XP_020930173.1	BZW1
XP_020930173.1;NP_001231422.1	NP_001231422.1	BZW1
NP_001231430.1	NP_001231430.1	GLUD1
XP_020935235.1;XP_020935233.1;XP_020935222.1;XP_013843040.1;XP_020935211.1;XP_020935201.1;NP_001231434.1	XP_020935235.1	TNFAIP8
XP_020935235.1;XP_020935233.1;XP_020935222.1;XP_013843040.1;XP_020935211.1;XP_020935201.1;NP_001231434.1	XP_020935233.1	TNFAIP8
XP_020935235.1;XP_020935233.1;XP_020935222.1;XP_013843040.1;XP_020935211.1;XP_020935201.1;NP_001231434.1	XP_020935222.1	TNFAIP8
XP_020935235.1;XP_020935233.1;XP_020935222.1;XP_013843040.1;XP_020935211.1;XP_020935201.1;NP_001231434.1	XP_020935211.1	TNFAIP8
XP_020935235.1;XP_020935233.1;XP_020935222.1;XP_013843040.1;XP_020935211.1;XP_020935201.1;NP_001231434.1	XP_020935201.1	TNFAIP8
XP_005661445.1;XP_005661444.1;NP_001231435.1	XP_005661445.1	DAZAP1
XP_005661445.1;XP_005661444.1;NP_001231435.1	XP_005661444.1	DAZAP1
XP_005661445.1;XP_005661444.1;NP_001231435.1	NP_001231435.1	DAZAP1
XP_020946851.1;XP_020946850.1;XP_020946849.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;NP_001231441.1;XP_005652593.1;XP_005652592.1;XP_013839381.1;XP_013839353.1;XP_020946853.1;XP_020946852.1;XP_005652602.1;XP_005652601.1;XP_013839644.1;XP_005652599.1;XP_005652598.1;XP_013839542.1;XP_020946847.1;XP_013839078.1;XP_005652586.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_013838729.1;XP_020946846.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_020946844.1;XP_013839239.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1	XP_020946851.1	PCBP2
XP_020946851.1;XP_020946850.1;XP_020946849.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;NP_001231441.1;XP_005652593.1;XP_005652592.1;XP_013839381.1;XP_013839353.1;XP_020946853.1;XP_020946852.1;XP_005652602.1;XP_005652601.1;XP_013839644.1;XP_005652599.1;XP_005652598.1;XP_013839542.1;XP_020946847.1;XP_013839078.1;XP_005652586.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_013838729.1;XP_020946846.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_020946844.1;XP_013839239.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1	XP_020946850.1	PCBP2
XP_020946851.1;XP_020946850.1;XP_020946849.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;NP_001231441.1;XP_005652593.1;XP_005652592.1;XP_013839381.1;XP_013839353.1;XP_020946853.1;XP_020946852.1;XP_005652602.1;XP_005652601.1;XP_013839644.1;XP_005652599.1;XP_005652598.1;XP_013839542.1;XP_020946847.1;XP_013839078.1;XP_005652586.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_013838729.1;XP_020946846.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_020946844.1;XP_013839239.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1	XP_020946849.1	PCBP2
XP_020946851.1;XP_020946850.1;XP_020946849.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;NP_001231441.1;XP_005652593.1;XP_005652592.1;XP_013839381.1;XP_013839353.1;XP_020946853.1;XP_020946852.1;XP_005652602.1;XP_005652601.1;XP_013839644.1;XP_005652599.1;XP_005652598.1;XP_013839542.1;XP_020946847.1;XP_013839078.1;XP_005652586.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_013838729.1;XP_020946846.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_020946844.1;XP_013839239.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1	XP_020946853.1	PCBP2
XP_020946851.1;XP_020946850.1;XP_020946849.1;XP_020946848.1;XP_005652597.1;XP_005652596.1;NP_001231441.1;XP_005652593.1;XP_005652592.1;XP_013839381.1;XP_013839353.1;XP_020946853.1;XP_020946852.1;XP_005652602.1;XP_005652601.1;XP_013839644.1;XP_005652599.1;XP_005652598.1;XP_013839542.1;XP_020946847.1;XP_013839078.1;XP_005652586.1;XP_005652585.1;XP_005652584.1;XP_020946843.1;XP_005652583.1;XP_005652582.1;XP_005652581.1;XP_005652580.1;XP_005652579.1;XP_005652578.1;XP_020946842.1;XP_013838729.1;XP_020946846.1;XP_013839319.1;XP_013839282.1;XP_005652591.1;XP_020946845.1;XP_020946844.1;XP_013839239.1;XP_005652590.1;XP_005652589.1;XP_005652588.1;XP_005652587.1	XP_020946852.1	PCBP2
XP_005660823.2;XP_005660822.2;NP_001231443.1	XP_005660823.2	PLA2G16
XP_005660823.2;XP_005660822.2;NP_001231443.1	XP_005660822.2	PLA2G16
XP_005660823.2;XP_005660822.2;NP_001231443.1	NP_001231443.1	PLA2G16
NP_001231453.1;XP_005666850.1	NP_001231453.1	FGG
NP_001231453.1;XP_005666850.1	XP_005666850.1	FGG
XP_020944321.1;XP_020944320.1;XP_005662912.1;NP_001231454.1;XP_020944322.1	XP_020944321.1	TATDN1
XP_020944321.1;XP_020944320.1;XP_005662912.1;NP_001231454.1;XP_020944322.1	XP_020944320.1	TATDN1
XP_020944321.1;XP_020944320.1;XP_005662912.1;NP_001231454.1;XP_020944322.1	XP_005662912.1	TATDN1
XP_020944321.1;XP_020944320.1;XP_005662912.1;NP_001231454.1;XP_020944322.1	NP_001231454.1	TATDN1
XP_020944321.1;XP_020944320.1;XP_005662912.1;NP_001231454.1;XP_020944322.1	XP_020944322.1	TATDN1
NP_001231460.1	NP_001231460.1	PRDX3
NP_001231461.1	NP_001231461.1	DHRS11
NP_001231465.1;CON__Q28194	NP_001231465.1	THBS1
NP_001231465.1;CON__Q28194	CON__Q28194	-
NP_001231470.1;XP_005669603.1	NP_001231470.1	GMPPB
NP_001231470.1;XP_005669603.1	XP_005669603.1	GMPPB
NP_001231473.1;XP_020953928.1	NP_001231473.1	ARPIN
NP_001231473.1;XP_020953928.1	XP_020953928.1	ARPIN
NP_001231479.1	NP_001231479.1	MAP2K2
NP_001231485.1	NP_001231485.1	AIMP2
XP_020933514.1;NP_001231487.1	XP_020933514.1	RPL17
XP_020933514.1;NP_001231487.1	NP_001231487.1	RPL17
NP_001231489.1;XP_013836318.1;XP_005668753.1	NP_001231489.1	NSF
NP_001231489.1;XP_013836318.1;XP_005668753.1	XP_013836318.1	NSF
NP_001231489.1;XP_013836318.1;XP_005668753.1	XP_005668753.1	NSF
NP_001231490.1	NP_001231490.1	HNMT
XP_020934043.1;XP_020934034.1;NP_001231492.1;XP_020934024.1;XP_020934017.1;XP_020934013.1;NP_001231491.1;XP_020934004.1;XP_020933993.1;XP_020933987.1	XP_020934043.1	H2AFY
XP_020934043.1;XP_020934034.1;NP_001231492.1;XP_020934024.1;XP_020934017.1;XP_020934013.1;NP_001231491.1;XP_020934004.1;XP_020933993.1;XP_020933987.1	XP_020934034.1	H2AFY
XP_020934043.1;XP_020934034.1;NP_001231492.1;XP_020934024.1;XP_020934017.1;XP_020934013.1;NP_001231491.1;XP_020934004.1;XP_020933993.1;XP_020933987.1	XP_020934024.1	H2AFY
XP_020934043.1;XP_020934034.1;NP_001231492.1;XP_020934024.1;XP_020934017.1;XP_020934013.1;NP_001231491.1;XP_020934004.1;XP_020933993.1;XP_020933987.1	XP_020934017.1	H2AFY
XP_020934043.1;XP_020934034.1;NP_001231492.1;XP_020934024.1;XP_020934017.1;XP_020934013.1;NP_001231491.1;XP_020934004.1;XP_020933993.1;XP_020933987.1	XP_020934013.1	H2AFY
XP_005654813.1;NP_001231527.1	XP_005654813.1	PRKCSH
XP_005654813.1;NP_001231527.1	NP_001231527.1	PRKCSH
NP_001231549.1	NP_001231549.1	TBC1D20
XP_005655405.1;NP_001231552.1;XP_005655404.1	XP_005655405.1	MTDH
XP_005655405.1;NP_001231552.1;XP_005655404.1	NP_001231552.1	MTDH
XP_005655405.1;NP_001231552.1;XP_005655404.1	XP_005655404.1	MTDH
NP_001231553.1	NP_001231553.1	EIF3I
NP_001231554.1	NP_001231554.1	GSS
NP_001231560.1	NP_001231560.1	CKAP4
NP_001231568.1	NP_001231568.1	HRG
NP_001231575.1	NP_001231575.1	NDUFA13
NP_001231582.1	NP_001231582.1	TF
NP_001231584.1	NP_001231584.1	MANF
NP_001231587.1;NP_001231586.1	NP_001231587.1	GMPPA
NP_001231587.1;NP_001231586.1	NP_001231586.1	GMPPA
XP_020946648.1;XP_020946646.1;XP_020946645.1;NP_001231608.1	XP_020946648.1	MFAP5
XP_020946648.1;XP_020946646.1;XP_020946645.1;NP_001231608.1	XP_020946646.1	MFAP5
XP_020946648.1;XP_020946646.1;XP_020946645.1;NP_001231608.1	XP_020946645.1	MFAP5
