name	condition	replicate	intensity
XP_003128784	m_wt	736	NA
RPS26	m_wt	736	25.39835880712727
RPIA	m_wt	736	26.07740903169934
CSTB	m_wt	736	29.748040280912377
LGALS3	m_wt	736	25.7222363624489
HSPH1	m_wt	736	NA
ADSSL1	m_wt	736	NA
SDHD	m_wt	736	NA
PGRMC2	m_wt	736	27.8987371768568
AP3B1	m_wt	736	25.260871594139186
RABGGTA	m_wt	736	NA
RPLP0	m_wt	736	27.97792865997149
SFXN1	m_wt	736	NA
PNPLA2	m_wt	736	28.0210984991037
FASN	m_wt	736	36.531452362108
FABP3	m_wt	736	32.82583688247825
PGK1	m_wt	736	31.026569917650416
CAPN2	m_wt	736	28.42538399873002
IGFBP6	m_wt	736	NA
PPP2R5A	m_wt	736	NA
EIF4A3	m_wt	736	NA
EIF4A2	m_wt	736	28.27865837902693
EIF4A1	m_wt	736	25.270955410573162
ACOX1	m_wt	736	26.108709009775335
C2	m_wt	736	NA
SKIV2L	m_wt	736	NA
DPM1	m_wt	736	23.4776604515532
NP_001095294	m_wt	736	29.887697842685892
SNCG	m_wt	736	27.445611905287915
XP_020921683	m_wt	736	NA
SDHB	m_wt	736	27.583839934628767
COL5A3	m_wt	736	NA
COL5A2	m_wt	736	NA
LNPEP	m_wt	736	27.00227989142311
COPS6	m_wt	736	NA
COPS5	m_wt	736	24.216748818028144
COPS2	m_wt	736	25.06615917286476
XP_020955925	m_wt	736	25.89258987742707
SEC62	m_wt	736	NA
SIRT5	m_wt	736	NA
CDH13	m_wt	736	27.987284832836718
TRARG1	m_wt	736	29.376376413966774
BCAS1	m_wt	736	NA
CNPY3	m_wt	736	NA
SERPINB9	m_wt	736	24.417703688912283
LMNA	m_wt	736	30.102244778823493
SUMO1	m_wt	736	NA
TKT	m_wt	736	32.53027246210407
HNRNPAB	m_wt	736	25.094382825206257
PLA2G7	m_wt	736	NA
CRAT	m_wt	736	23.790146418231572
RPL7	m_wt	736	27.410459503534433
LDHB	m_wt	736	32.820235724705135
LRPAP1	m_wt	736	24.790593896579136
ECI2	m_wt	736	NA
CAPZB	m_wt	736	27.428781727701022
PPP2R5D	m_wt	736	NA
NP_001107167	m_wt	736	26.482330743372447
NP_001107174	m_wt	736	NA
XP_013833074	m_wt	736	NA
HLA-DRA	m_wt	736	26.12249942888679
SLA-5	m_wt	736	NA
ACACA	m_wt	736	31.19759374699852
SIRT2	m_wt	736	26.063178630511512
RELA	m_wt	736	NA
AIMP1	m_wt	736	26.96675256594251
RPL5	m_wt	736	26.97705522568364
SGCB	m_wt	736	24.941677022798462
LIMA1	m_wt	736	NA
GPX3	m_wt	736	26.279110216547
MFGE8	m_wt	736	NA
F2	m_wt	736	29.08174741675475
RTCB	m_wt	736	25.646995239284564
HK2	m_wt	736	26.94971309826793
ABCF1	m_wt	736	NA
ACE2	m_wt	736	25.14312595488496
AMPD1	m_wt	736	NA
ASPA	m_wt	736	27.080807608161205
XP_020948874	m_wt	736	24.92750527282876
NP_001116558	m_wt	736	28.140778215881525
C4A	m_wt	736	30.201630242051937
CAV2	m_wt	736	26.809558154711382
CDC37	m_wt	736	26.198579928092027
CTSZ	m_wt	736	NA
GNAI2	m_wt	736	29.882561801303815
GNAI3	m_wt	736	26.945030829130737
GUSB	m_wt	736	NA
H2AFV	m_wt	736	NA
NP_001116599	m_wt	736	29.53452718884176
LIPA	m_wt	736	NA
LSM2	m_wt	736	NA
MYH4	m_wt	736	NA
NPEPL1	m_wt	736	24.14514915214551
XP_020937603	m_wt	736	27.35766555903499
PCK1	m_wt	736	NA
PCK1.1	m_wt	736	NA
PFDN4	m_wt	736	NA
PHGDH	m_wt	736	NA
PPP1R11	m_wt	736	NA
PYGL	m_wt	736	29.628883691040418
RAB1B	m_wt	736	29.7449329217609
